"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Основной функционал","6","0","Отображение информации об ингредиенте","0"
"0","","0","Раздел «Лента заказов»","2","0","Отображение деталей заказа по клику","0"
"0","","0","Основной функционал","2","0","Оформление заказа","0"
"0","","0","Восстановление пароля","2","0","Ввод почты и клик по кнопке «Восстановить»","0"
"0","","0","Раздел «Лента заказов»","2","0","Увеличение общего счетчика заказов","0"
"0","","0","Основной функционал","2","0","Переход по клику на «Конструктор»","0"
"0","","0","Личный кабинет","2","0","Переход по клику на «Личный кабинет»","0"
"0","","0","Основной функционал","2","0","Переход по клику на «Лента заказов» без регистрации","0"
"0","","0","Раздел «Лента заказов»","2","0","Заказ пользователя виден в «Лента заказов»","0"
"0","","0","Восстановление пароля","2","0","Клик по кнопке показать/скрыть пароль - делает поле активным","0"
"0","","0","Личный кабинет","2","0","Выход из аккаунта.","0"
"0","","0","Основной функционал","6","0","Закрыть отображение информации об ингредиенте","0"
"0","","0","Раздел «Лента заказов»","2","0","Новый заказ «В работе»","0"
"0","","0","Раздел «Лента заказов»","2","0","Увеличение сегодняшнего счетчика заказов","0"
"0","","0","Основной функционал","2","0","Переход по клику на «Конструктор» без регистрации","0"
"0","","0","Основной функционал","2","0","Переход по клику на «Лента заказов»","0"
"0","","0","Восстановление пароля","2","0","Переход на страницу восстановления пароля по кнопке «Восстановить пароль»","0"
"0","","0","Личный кабинет","2","0","Переход в раздел «История заказов»","0"
"0","","0","Основной функционал","2","0","Увеличить каунтер ингредиенте","0"
