"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2456","Отображение информации об ингредиенте: 10","tests","Mon Mar 17 00:15:22 GET 2025","passed","Mon Mar 17 00:15:25 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","2696","test_click_on_order[firefox]","tests","Mon Mar 17 00:20:36 GET 2025","passed","Mon Mar 17 00:20:39 GET 2025","TestOrderFeed","test_order_feed","",""
"","632","test_submit_order[chrome]","tests","Mon Mar 17 00:19:32 GET 2025","passed","Mon Mar 17 00:19:32 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","2235","test_enter_email_and_click_recover[chrome]","tests","Mon Mar 17 00:07:13 GET 2025","passed","Mon Mar 17 00:07:16 GET 2025","TestForgotPassword","test_forgot_password","",""
"","6669","test_increase_order_counter[firefox]","tests","Mon Mar 17 00:21:25 GET 2025","passed","Mon Mar 17 00:21:31 GET 2025","TestOrderFeed","test_order_feed","",""
"","4650","test_click_on_constructor[firefox]","tests","Mon Mar 17 00:12:51 GET 2025","passed","Mon Mar 17 00:12:56 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","523","test_personal_account[chrome]","tests","Mon Mar 17 00:09:31 GET 2025","passed","Mon Mar 17 00:09:32 GET 2025","TestPersonalAccount","test_personal_account","",""
"","1860","test_click_on_orders_feed_wo_registration[firefox]","tests","Mon Mar 17 00:14:38 GET 2025","passed","Mon Mar 17 00:14:40 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","2697","Отображение информации об ингредиенте: 0","tests","Mon Mar 17 00:15:32 GET 2025","passed","Mon Mar 17 00:15:35 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","551","test_personal_account[firefox]","tests","Mon Mar 17 00:09:47 GET 2025","passed","Mon Mar 17 00:09:47 GET 2025","TestPersonalAccount","test_personal_account","",""
"","6472","test_user_order_in_feed_page[firefox]","tests","Mon Mar 17 00:24:17 GET 2025","passed","Mon Mar 17 00:24:24 GET 2025","TestOrderFeed","test_order_feed","",""
"","615","test_submit_order[firefox]","tests","Mon Mar 17 00:19:43 GET 2025","passed","Mon Mar 17 00:19:44 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","2397","Отображение информации об ингредиенте: 0","tests","Mon Mar 17 00:15:10 GET 2025","passed","Mon Mar 17 00:15:13 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","2387","test_show_hide_password[firefox]","tests","Mon Mar 17 00:07:56 GET 2025","passed","Mon Mar 17 00:07:58 GET 2025","TestForgotPassword","test_forgot_password","",""
"","1283","test_logout[firefox]","tests","Mon Mar 17 00:10:28 GET 2025","passed","Mon Mar 17 00:10:29 GET 2025","TestPersonalAccount","test_personal_account","",""
"","3318","Закрыть отображение информации об ингредиенте: 5","tests","Mon Mar 17 00:17:27 GET 2025","passed","Mon Mar 17 00:17:30 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","6750","test_new_order_in_progress[firefox]","tests","Mon Mar 17 00:23:23 GET 2025","passed","Mon Mar 17 00:23:30 GET 2025","TestOrderFeed","test_order_feed","",""
"","6305","test_increase_today_order_counter[firefox]","tests","Mon Mar 17 00:22:18 GET 2025","passed","Mon Mar 17 00:22:25 GET 2025","TestOrderFeed","test_order_feed","",""
"","6906","test_user_order_in_feed_page[chrome]","tests","Mon Mar 17 00:23:59 GET 2025","passed","Mon Mar 17 00:24:06 GET 2025","TestOrderFeed","test_order_feed","",""
"","2121","test_click_on_order[chrome]","tests","Mon Mar 17 00:20:27 GET 2025","passed","Mon Mar 17 00:20:29 GET 2025","TestOrderFeed","test_order_feed","",""
"","2306","test_enter_email_and_click_recover[firefox]","tests","Mon Mar 17 00:07:23 GET 2025","passed","Mon Mar 17 00:07:26 GET 2025","TestForgotPassword","test_forgot_password","",""
"","551","test_click_on_constructor[chrome]","tests","Mon Mar 17 00:12:40 GET 2025","passed","Mon Mar 17 00:12:40 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","6531","test_new_order_in_progress[chrome]","tests","Mon Mar 17 00:22:57 GET 2025","passed","Mon Mar 17 00:23:03 GET 2025","TestOrderFeed","test_order_feed","",""
"","2168","test_click_on_constructor_wo_registration[firefox]","tests","Mon Mar 17 00:13:22 GET 2025","passed","Mon Mar 17 00:13:24 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","3210","Закрыть отображение информации об ингредиенте: 0","tests","Mon Mar 17 00:17:15 GET 2025","passed","Mon Mar 17 00:17:18 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","1107","test_logout[chrome]","tests","Mon Mar 17 00:10:16 GET 2025","passed","Mon Mar 17 00:10:17 GET 2025","TestPersonalAccount","test_personal_account","",""
"","3008","Отображение информации об ингредиенте: 5","tests","Mon Mar 17 00:15:43 GET 2025","passed","Mon Mar 17 00:15:46 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","6433","test_increase_today_order_counter[chrome]","tests","Mon Mar 17 00:22:01 GET 2025","passed","Mon Mar 17 00:22:08 GET 2025","TestOrderFeed","test_order_feed","",""
"","27","test_click_on_orders_feed[chrome]","tests","Mon Mar 17 00:13:53 GET 2025","passed","Mon Mar 17 00:13:53 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","2833","Закрыть отображение информации об ингредиенте: 10","tests","Mon Mar 17 00:17:05 GET 2025","passed","Mon Mar 17 00:17:07 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","1729","test_click_on_orders_feed_wo_registration[chrome]","tests","Mon Mar 17 00:14:25 GET 2025","passed","Mon Mar 17 00:14:26 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","3252","Закрыть отображение информации об ингредиенте: 10","tests","Mon Mar 17 00:17:38 GET 2025","passed","Mon Mar 17 00:17:41 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","1591","test_go_to_forgot_password_page[chrome]","tests","Mon Mar 17 00:06:58 GET 2025","passed","Mon Mar 17 00:07:00 GET 2025","TestForgotPassword","test_forgot_password","",""
"","2218","test_show_hide_password[chrome]","tests","Mon Mar 17 00:07:46 GET 2025","passed","Mon Mar 17 00:07:48 GET 2025","TestForgotPassword","test_forgot_password","",""
"","6457","test_increase_order_counter[chrome]","tests","Mon Mar 17 00:21:07 GET 2025","passed","Mon Mar 17 00:21:14 GET 2025","TestOrderFeed","test_order_feed","",""
"","3090","Закрыть отображение информации об ингредиенте: 5","tests","Mon Mar 17 00:16:58 GET 2025","passed","Mon Mar 17 00:17:01 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","598","test_order_history[chrome]","tests","Mon Mar 17 00:09:55 GET 2025","passed","Mon Mar 17 00:09:56 GET 2025","TestPersonalAccount","test_personal_account","",""
"","2521","Отображение информации об ингредиенте: 5","tests","Mon Mar 17 00:15:16 GET 2025","passed","Mon Mar 17 00:15:19 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","22","test_click_on_orders_feed[firefox]","tests","Mon Mar 17 00:14:04 GET 2025","passed","Mon Mar 17 00:14:04 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","1683","test_click_on_constructor_wo_registration[chrome]","tests","Mon Mar 17 00:13:09 GET 2025","passed","Mon Mar 17 00:13:10 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","1931","test_go_to_forgot_password_page[firefox]","tests","Mon Mar 17 00:07:07 GET 2025","passed","Mon Mar 17 00:07:09 GET 2025","TestForgotPassword","test_forgot_password","",""
"","3024","test_add_ingredient_to_order[firefox]","tests","Mon Mar 17 00:18:56 GET 2025","passed","Mon Mar 17 00:18:59 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","3000","Отображение информации об ингредиенте: 10","tests","Mon Mar 17 00:15:54 GET 2025","passed","Mon Mar 17 00:15:57 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","2327","test_add_ingredient_to_order[chrome]","tests","Mon Mar 17 00:18:46 GET 2025","passed","Mon Mar 17 00:18:48 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","2974","Закрыть отображение информации об ингредиенте: 0","tests","Mon Mar 17 00:16:51 GET 2025","passed","Mon Mar 17 00:16:54 GET 2025","TestMainFunctionality","test_main_functionality","",""
"","748","test_order_history[firefox]","tests","Mon Mar 17 00:10:07 GET 2025","passed","Mon Mar 17 00:10:07 GET 2025","TestPersonalAccount","test_personal_account","",""
